record_id		String		Tag
194ae3f3-badd-4338-b95e-67d0537676a6		04:52:14 		#TIME
194ae3f3-badd-4338-b95e-67d0537676a6		20 Aug 2014		#DATE
194ae3f3-badd-4338-b95e-67d0537676a6		04:52:14 		#TIME
a1b63fb6-cd72-4ba7-9c99-46c02c1ef791		20 Aug 2014		#DATE
a1b63fb6-cd72-4ba7-9c99-46c02c1ef791		04:55:01 		#TIME
a1b63fb6-cd72-4ba7-9c99-46c02c1ef791		20 Aug 2014		#DATE
a1b63fb6-cd72-4ba7-9c99-46c02c1ef791		04:55:01 		#TIME
a1b63fb6-cd72-4ba7-9c99-46c02c1ef791		20 Aug 2014		#DATE
a1b63fb6-cd72-4ba7-9c99-46c02c1ef791		04:55:01 		#TIME
ccaa8ff7-bd98-4392-aec6-101d8980ad1c		August 25, 2008		#DATE
ccaa8ff7-bd98-4392-aec6-101d8980ad1c		August 25, 2008		#DATE
ccaa8ff7-bd98-4392-aec6-101d8980ad1c		August 25, 2008		#DATE
8be973d1-af6b-410b-8347-87e4506a25b4		goldencross.com		#URL
8be973d1-af6b-410b-8347-87e4506a25b4		goldencross.com		#URL
8be973d1-af6b-410b-8347-87e4506a25b4		goldencross.com		#URL
b51b247b-e162-4e3b-bf65-355b82958829		20 Aug 2014		#DATE
b51b247b-e162-4e3b-bf65-355b82958829		04:50:35 		#TIME
b51b247b-e162-4e3b-bf65-355b82958829		ASP.NET		#URL
b51b247b-e162-4e3b-bf65-355b82958829		20 Aug 2014		#DATE
b51b247b-e162-4e3b-bf65-355b82958829		04:50:35 		#TIME
b51b247b-e162-4e3b-bf65-355b82958829		ASP.NET		#URL
b51b247b-e162-4e3b-bf65-355b82958829		20 Aug 2014		#DATE
b51b247b-e162-4e3b-bf65-355b82958829		04:50:35 		#TIME
b51b247b-e162-4e3b-bf65-355b82958829		ASP.NET		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		dego.Se		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		usn.Se		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		klimatyzacji.Se		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		spawamy.Na		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		arek.Cz		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		upal.Do		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		ywanych.Au		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		napraw.Za		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		klimatyzacja.Re		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		w.Re		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		arki.Se		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		2010-07-02		#DATE
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		dego.Se		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		usn.Se		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		klimatyzacji.Se		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		spawamy.Na		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		arek.Cz		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		upal.Do		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		ywanych.Au		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		napraw.Za		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		klimatyzacja.Re		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		w.Re		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		arki.Se		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		2010-07-02		#DATE
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		dego.Se		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		usn.Se		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		klimatyzacji.Se		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		spawamy.Na		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		arek.Cz		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		upal.Do		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		ywanych.Au		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		napraw.Za		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		klimatyzacja.Re		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		w.Re		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		arki.Se		#URL
0c39b177-35b9-4e7c-94ba-5e13db1e0be4		2010-07-02		#DATE
39f289cc-2d01-44e7-a6f4-4f964474981c		December 6, 2010		#DATE
39f289cc-2d01-44e7-a6f4-4f964474981c		Aug 18, 2014		#DATE
39f289cc-2d01-44e7-a6f4-4f964474981c		Aug 18, 2014		#DATE
39f289cc-2d01-44e7-a6f4-4f964474981c		evening.Be		#URL
39f289cc-2d01-44e7-a6f4-4f964474981c		Aug 18, 2014		#DATE
39f289cc-2d01-44e7-a6f4-4f964474981c		Aug 18, 2014		#DATE
39f289cc-2d01-44e7-a6f4-4f964474981c		Sta.sh		#URL
39f289cc-2d01-44e7-a6f4-4f964474981c		December 6, 2010		#DATE
39f289cc-2d01-44e7-a6f4-4f964474981c		Aug 18, 2014		#DATE
39f289cc-2d01-44e7-a6f4-4f964474981c		Aug 18, 2014		#DATE
39f289cc-2d01-44e7-a6f4-4f964474981c		evening.Be		#URL
39f289cc-2d01-44e7-a6f4-4f964474981c		Aug 18, 2014		#DATE
39f289cc-2d01-44e7-a6f4-4f964474981c		Aug 18, 2014		#DATE
39f289cc-2d01-44e7-a6f4-4f964474981c		Sta.sh		#URL
39f289cc-2d01-44e7-a6f4-4f964474981c		December 6, 2010		#DATE
39f289cc-2d01-44e7-a6f4-4f964474981c		Aug 18, 2014		#DATE
39f289cc-2d01-44e7-a6f4-4f964474981c		Aug 18, 2014		#DATE
39f289cc-2d01-44e7-a6f4-4f964474981c		evening.Be		#URL
39f289cc-2d01-44e7-a6f4-4f964474981c		Aug 18, 2014		#DATE
39f289cc-2d01-44e7-a6f4-4f964474981c		Aug 18, 2014		#DATE
39f289cc-2d01-44e7-a6f4-4f964474981c		Sta.sh		#URL
e4ef3c4b-ae92-4b51-8793-0da8f6010c7d		ustalone.Za		#URL
e4ef3c4b-ae92-4b51-8793-0da8f6010c7d		nie.Al		#URL
e4ef3c4b-ae92-4b51-8793-0da8f6010c7d		2010-01-17		#DATE
e4ef3c4b-ae92-4b51-8793-0da8f6010c7d		w.Na		#URL
e4ef3c4b-ae92-4b51-8793-0da8f6010c7d		prac.Je		#URL
e4ef3c4b-ae92-4b51-8793-0da8f6010c7d		J.Pr		#URL
e4ef3c4b-ae92-4b51-8793-0da8f6010c7d		ustalone.Za		#URL
e4ef3c4b-ae92-4b51-8793-0da8f6010c7d		nie.Al		#URL
e4ef3c4b-ae92-4b51-8793-0da8f6010c7d		2010-01-17		#DATE
e4ef3c4b-ae92-4b51-8793-0da8f6010c7d		w.Na		#URL
e4ef3c4b-ae92-4b51-8793-0da8f6010c7d		prac.Je		#URL
e4ef3c4b-ae92-4b51-8793-0da8f6010c7d		J.Pr		#URL
e4ef3c4b-ae92-4b51-8793-0da8f6010c7d		ustalone.Za		#URL
e4ef3c4b-ae92-4b51-8793-0da8f6010c7d		nie.Al		#URL
e4ef3c4b-ae92-4b51-8793-0da8f6010c7d		2010-01-17		#DATE
e4ef3c4b-ae92-4b51-8793-0da8f6010c7d		w.Na		#URL
e4ef3c4b-ae92-4b51-8793-0da8f6010c7d		prac.Je		#URL
e4ef3c4b-ae92-4b51-8793-0da8f6010c7d		J.Pr		#URL
22cbce44-8310-4e1c-b7b6-0e7e2c76961c		eramuslim.com		#URL
22cbce44-8310-4e1c-b7b6-0e7e2c76961c		eramuslim.com		#URL
22cbce44-8310-4e1c-b7b6-0e7e2c76961c		eramuslim.com		#URL
69a0a922-5d1e-41a8-a720-3063717a7118		4shared.com		#URL
69a0a922-5d1e-41a8-a720-3063717a7118		22-39.mp		#URL
69a0a922-5d1e-41a8-a720-3063717a7118		4shared.com		#URL
69a0a922-5d1e-41a8-a720-3063717a7118		22-39.mp		#URL
69a0a922-5d1e-41a8-a720-3063717a7118		4shared.com		#URL
69a0a922-5d1e-41a8-a720-3063717a7118		22-39.mp		#URL
81e8522d-e293-46de-9e5b-c6ba3b41a8cd		$18		#MONEY
81e8522d-e293-46de-9e5b-c6ba3b41a8cd		$18		#MONEY
81e8522d-e293-46de-9e5b-c6ba3b41a8cd		$18		#MONEY
a0c0ecff-d4c8-459e-9d2e-b6e4069c1e32		$18		#MONEY
a0c0ecff-d4c8-459e-9d2e-b6e4069c1e32		$18		#MONEY
a0c0ecff-d4c8-459e-9d2e-b6e4069c1e32		$18		#MONEY
95e46b80-7b34-41c8-87c5-e9e1c2acc285		$18		#MONEY
95e46b80-7b34-41c8-87c5-e9e1c2acc285		$18		#MONEY
95e46b80-7b34-41c8-87c5-e9e1c2acc285		$18		#MONEY
46f832a6-58d8-4aec-a52c-167752b6081c		$18		#MONEY
46f832a6-58d8-4aec-a52c-167752b6081c		$18		#MONEY
